Contract_ID,tenure,CustomerID,Contract,PaperlessBilling,PaymentMethod
CONT1741,40,C1741,Month-to-month,Yes,Bank transfer (automatic)
CONT1742,16,C1742,Month-to-month,Yes,Bank transfer (automatic)
CONT1743,2,C1743,Month-to-month,Yes,Bank transfer (automatic)
CONT1744,67,C1744,Two year,No,Credit card (automatic)
CONT1745,41,C1745,One year,Yes,Bank transfer (automatic)
CONT1746,56,C1746,Two year,Yes,Credit card (automatic)
CONT1747,72,C1747,Two year,Yes,Bank transfer (automatic)
CONT1748,3,C1748,Month-to-month,Yes,Bank transfer (automatic)
CONT1749,54,C1749,Two year,No,Credit card (automatic)
CONT1750,52,C1750,Month-to-month,Yes,Electronic check
CONT1751,50,C1751,Two year,Yes,Bank transfer (automatic)
CONT1752,14,C1752,Month-to-month,Yes,Electronic check
CONT1753,27,C1753,One year,No,Credit card (automatic)
CONT1754,72,C1754,Two year,Yes,Bank transfer (automatic)
CONT1755,62,C1755,One year,Yes,Credit card (automatic)
CONT1756,12,C1756,Month-to-month,Yes,Electronic check
CONT1757,44,C1757,One year,No,Bank transfer (automatic)
CONT1758,54,C1758,Two year,Yes,Bank transfer (automatic)
CONT1759,68,C1759,Two year,No,Bank transfer (automatic)
CONT1760,20,C1760,Month-to-month,No,Mailed check
CONT1761,50,C1761,One year,No,Bank transfer (automatic)
CONT1762,58,C1762,Two year,Yes,Credit card (automatic)
CONT1763,35,C1763,Month-to-month,Yes,Bank transfer (automatic)
CONT1764,2,C1764,Month-to-month,Yes,Electronic check
CONT1765,63,C1765,Two year,No,Mailed check
CONT1766,58,C1766,One year,Yes,Credit card (automatic)
CONT1767,27,C1767,One year,Yes,Mailed check
CONT1768,71,C1768,Two year,Yes,Credit card (automatic)
CONT1769,63,C1769,One year,No,Credit card (automatic)
CONT1770,71,C1770,Month-to-month,Yes,Bank transfer (automatic)
CONT1771,41,C1771,Month-to-month,Yes,Electronic check
CONT1772,13,C1772,Month-to-month,Yes,Electronic check
CONT1773,2,C1773,Month-to-month,No,Electronic check
CONT1774,68,C1774,Two year,Yes,Bank transfer (automatic)
CONT1775,1,C1775,Month-to-month,Yes,Mailed check
CONT1776,65,C1776,Two year,Yes,Electronic check
CONT1777,72,C1777,Two year,Yes,Bank transfer (automatic)
CONT1778,28,C1778,Month-to-month,Yes,Credit card (automatic)
CONT1779,72,C1779,Two year,No,Credit card (automatic)
CONT1780,2,C1780,Month-to-month,Yes,Electronic check
CONT1781,18,C1781,One year,No,Bank transfer (automatic)
CONT1782,60,C1782,One year,Yes,Electronic check
CONT1783,26,C1783,Month-to-month,Yes,Electronic check
CONT1784,1,C1784,Month-to-month,Yes,Electronic check
CONT1785,4,C1785,Month-to-month,No,Mailed check
CONT1786,68,C1786,Two year,Yes,Credit card (automatic)
CONT1787,38,C1787,Month-to-month,Yes,Credit card (automatic)
CONT1788,42,C1788,One year,Yes,Bank transfer (automatic)
CONT1789,57,C1789,Two year,Yes,Bank transfer (automatic)
CONT1790,54,C1790,Month-to-month,No,Electronic check
CONT1791,12,C1791,Month-to-month,No,Bank transfer (automatic)
CONT1792,44,C1792,One year,Yes,Mailed check
CONT1793,42,C1793,Month-to-month,Yes,Bank transfer (automatic)
CONT1794,72,C1794,Two year,No,Bank transfer (automatic)
CONT1795,71,C1795,Two year,No,Mailed check
CONT1796,19,C1796,Month-to-month,No,Mailed check
CONT1797,23,C1797,Month-to-month,Yes,Credit card (automatic)
CONT1798,30,C1798,Two year,No,Credit card (automatic)
CONT1799,35,C1799,One year,No,Bank transfer (automatic)
CONT1800,10,C1800,Month-to-month,Yes,Electronic check
CONT1801,1,C1801,Month-to-month,Yes,Bank transfer (automatic)
CONT1802,22,C1802,Month-to-month,Yes,Mailed check
CONT1803,7,C1803,Two year,No,Mailed check
CONT1804,36,C1804,Two year,Yes,Mailed check
CONT1805,34,C1805,Month-to-month,No,Mailed check
CONT1806,72,C1806,Two year,No,Credit card (automatic)
CONT1807,36,C1807,Two year,No,Credit card (automatic)
CONT1808,1,C1808,Month-to-month,No,Electronic check
CONT1809,23,C1809,Month-to-month,Yes,Electronic check
CONT1810,32,C1810,Month-to-month,Yes,Electronic check
CONT1811,71,C1811,One year,Yes,Credit card (automatic)
CONT1812,23,C1812,Month-to-month,Yes,Mailed check
CONT1813,17,C1813,One year,Yes,Bank transfer (automatic)
CONT1814,1,C1814,Month-to-month,Yes,Electronic check
CONT1815,12,C1815,Two year,No,Mailed check
CONT1816,72,C1816,Two year,No,Credit card (automatic)
CONT1817,1,C1817,Month-to-month,No,Mailed check
CONT1818,72,C1818,Two year,No,Bank transfer (automatic)
CONT1819,60,C1819,Month-to-month,No,Bank transfer (automatic)
CONT1820,61,C1820,Two year,No,Credit card (automatic)
CONT1821,6,C1821,Month-to-month,No,Mailed check
CONT1822,32,C1822,Month-to-month,No,Electronic check
CONT1823,31,C1823,Month-to-month,Yes,Credit card (automatic)
CONT1824,19,C1824,Month-to-month,Yes,Credit card (automatic)
CONT1825,72,C1825,Two year,No,Bank transfer (automatic)
CONT1826,32,C1826,Month-to-month,Yes,Electronic check
CONT1827,65,C1827,Month-to-month,Yes,Electronic check
CONT1828,45,C1828,Month-to-month,Yes,Bank transfer (automatic)
CONT1829,42,C1829,One year,No,Electronic check
CONT1830,8,C1830,Month-to-month,Yes,Electronic check
CONT1831,32,C1831,Two year,No,Mailed check
CONT1832,22,C1832,Month-to-month,Yes,Mailed check
CONT1833,57,C1833,Month-to-month,Yes,Electronic check
CONT1834,1,C1834,Month-to-month,No,Electronic check
CONT1835,1,C1835,Month-to-month,No,Electronic check
CONT1836,1,C1836,Month-to-month,Yes,Electronic check
CONT1837,24,C1837,Month-to-month,Yes,Electronic check
CONT1838,1,C1838,Month-to-month,No,Bank transfer (automatic)
CONT1839,54,C1839,Month-to-month,Yes,Electronic check
CONT1840,4,C1840,Two year,Yes,Credit card (automatic)
CONT1841,65,C1841,Two year,No,Bank transfer (automatic)
CONT1842,56,C1842,One year,No,Electronic check
CONT1843,45,C1843,Month-to-month,Yes,Electronic check
CONT1844,71,C1844,Two year,No,Credit card (automatic)
CONT1845,59,C1845,One year,No,Credit card (automatic)
CONT1846,69,C1846,One year,Yes,Bank transfer (automatic)
CONT1847,19,C1847,One year,No,Mailed check
CONT1848,55,C1848,Two year,No,Credit card (automatic)
CONT1849,38,C1849,One year,No,Mailed check
CONT1850,10,C1850,Month-to-month,Yes,Electronic check
CONT1851,47,C1851,Month-to-month,Yes,Credit card (automatic)
CONT1852,2,C1852,Month-to-month,Yes,Electronic check
CONT1853,1,C1853,Month-to-month,No,Credit card (automatic)
CONT1854,1,C1854,Month-to-month,No,Electronic check
CONT1855,1,C1855,Month-to-month,Yes,Electronic check
CONT1856,46,C1856,Two year,Yes,Mailed check
CONT1857,38,C1857,Month-to-month,Yes,Credit card (automatic)
CONT1858,65,C1858,Two year,No,Credit card (automatic)
CONT1859,19,C1859,Month-to-month,Yes,Electronic check
CONT1860,52,C1860,Month-to-month,Yes,Electronic check
CONT1861,71,C1861,Two year,No,Mailed check
CONT1862,1,C1862,Month-to-month,No,Mailed check
CONT1863,52,C1863,Month-to-month,Yes,Electronic check
CONT1864,6,C1864,One year,No,Mailed check
CONT1865,26,C1865,One year,No,Mailed check
CONT1866,48,C1866,One year,Yes,Electronic check
CONT1867,64,C1867,One year,Yes,Bank transfer (automatic)
CONT1868,3,C1868,Month-to-month,No,Electronic check
CONT1869,1,C1869,Month-to-month,Yes,Bank transfer (automatic)
CONT1870,72,C1870,Two year,No,Credit card (automatic)
CONT1871,1,C1871,Month-to-month,Yes,Mailed check
CONT1872,51,C1872,Month-to-month,Yes,Electronic check
CONT1873,41,C1873,Two year,No,Bank transfer (automatic)
CONT1874,72,C1874,Two year,Yes,Credit card (automatic)
CONT1875,43,C1875,Two year,No,Credit card (automatic)
CONT1876,72,C1876,Two year,Yes,Credit card (automatic)
CONT1877,47,C1877,One year,Yes,Credit card (automatic)
CONT1878,72,C1878,Two year,No,Credit card (automatic)
CONT1879,3,C1879,Month-to-month,Yes,Credit card (automatic)
CONT1880,1,C1880,Month-to-month,Yes,Electronic check
CONT1881,2,C1881,Month-to-month,Yes,Electronic check
CONT1882,26,C1882,Month-to-month,Yes,Bank transfer (automatic)
CONT1883,29,C1883,Month-to-month,Yes,Mailed check
CONT1884,35,C1884,Month-to-month,Yes,Bank transfer (automatic)
CONT1885,27,C1885,One year,No,Bank transfer (automatic)
CONT1886,24,C1886,Month-to-month,Yes,Credit card (automatic)
CONT1887,67,C1887,Two year,Yes,Bank transfer (automatic)
CONT1888,16,C1888,Month-to-month,No,Electronic check
CONT1889,23,C1889,One year,No,Bank transfer (automatic)
CONT1890,14,C1890,Month-to-month,Yes,Mailed check
CONT1891,1,C1891,Month-to-month,Yes,Electronic check
CONT1892,1,C1892,Month-to-month,No,Mailed check
CONT1893,4,C1893,Month-to-month,Yes,Credit card (automatic)
CONT1894,16,C1894,Month-to-month,Yes,Electronic check
CONT1895,46,C1895,Month-to-month,Yes,Electronic check
CONT1896,68,C1896,Two year,Yes,Bank transfer (automatic)
CONT1897,38,C1897,Month-to-month,No,Electronic check
CONT1898,30,C1898,Month-to-month,Yes,Bank transfer (automatic)
CONT1899,5,C1899,Month-to-month,No,Electronic check
CONT1900,17,C1900,Month-to-month,Yes,Credit card (automatic)
CONT1901,4,C1901,Two year,No,Mailed check
CONT1902,12,C1902,One year,No,Electronic check
CONT1903,72,C1903,Two year,Yes,Credit card (automatic)
CONT1904,3,C1904,Month-to-month,Yes,Electronic check
CONT1905,56,C1905,Month-to-month,Yes,Electronic check
CONT1906,41,C1906,One year,Yes,Mailed check
CONT1907,40,C1907,One year,No,Credit card (automatic)
CONT1908,7,C1908,Month-to-month,Yes,Electronic check
CONT1909,69,C1909,Two year,No,Credit card (automatic)
CONT1910,7,C1910,One year,No,Mailed check
CONT1911,5,C1911,Month-to-month,Yes,Electronic check
CONT1912,72,C1912,Two year,No,Credit card (automatic)
CONT1913,44,C1913,One year,Yes,Bank transfer (automatic)
CONT1914,65,C1914,One year,Yes,Electronic check
CONT1915,3,C1915,Month-to-month,No,Electronic check
CONT1916,24,C1916,Month-to-month,Yes,Credit card (automatic)
CONT1917,44,C1917,Month-to-month,Yes,Bank transfer (automatic)
CONT1918,72,C1918,Two year,No,Credit card (automatic)
CONT1919,24,C1919,Month-to-month,No,Electronic check
CONT1920,1,C1920,Month-to-month,No,Mailed check
CONT1921,22,C1921,Month-to-month,Yes,Bank transfer (automatic)
CONT1922,70,C1922,Two year,Yes,Credit card (automatic)
CONT1923,25,C1923,Month-to-month,No,Electronic check
CONT1924,37,C1924,Two year,No,Bank transfer (automatic)
CONT1925,22,C1925,Month-to-month,No,Bank transfer (automatic)
CONT1926,59,C1926,Two year,Yes,Bank transfer (automatic)
CONT1927,49,C1927,Month-to-month,Yes,Electronic check
CONT1928,47,C1928,Month-to-month,Yes,Bank transfer (automatic)
CONT1929,31,C1929,Month-to-month,Yes,Mailed check
CONT1930,1,C1930,Month-to-month,Yes,Electronic check
CONT1931,3,C1931,Month-to-month,Yes,Electronic check
CONT1932,53,C1932,One year,Yes,Bank transfer (automatic)
CONT1933,1,C1933,Month-to-month,No,Mailed check
CONT1934,20,C1934,One year,Yes,Mailed check
CONT1935,3,C1935,Month-to-month,Yes,Electronic check
CONT1936,51,C1936,One year,Yes,Bank transfer (automatic)
CONT1937,51,C1937,One year,Yes,Bank transfer (automatic)
CONT1938,13,C1938,Two year,No,Mailed check
CONT1939,1,C1939,Month-to-month,No,Mailed check
CONT1940,1,C1940,Month-to-month,Yes,Mailed check
CONT1941,63,C1941,One year,No,Electronic check
CONT1942,3,C1942,Month-to-month,No,Mailed check
CONT1943,46,C1943,Two year,No,Credit card (automatic)
CONT1944,1,C1944,Month-to-month,Yes,Credit card (automatic)
CONT1945,8,C1945,Month-to-month,No,Mailed check
CONT1946,71,C1946,Two year,No,Bank transfer (automatic)
CONT1947,55,C1947,Month-to-month,Yes,Credit card (automatic)
CONT1948,70,C1948,One year,Yes,Bank transfer (automatic)
CONT1949,2,C1949,Month-to-month,No,Electronic check
CONT1950,67,C1950,Two year,No,Bank transfer (automatic)
CONT1951,65,C1951,Month-to-month,Yes,Bank transfer (automatic)
CONT1952,14,C1952,Month-to-month,No,Credit card (automatic)
CONT1953,20,C1953,Month-to-month,Yes,Bank transfer (automatic)
CONT1954,1,C1954,Month-to-month,Yes,Electronic check
CONT1955,1,C1955,Month-to-month,Yes,Electronic check
CONT1956,49,C1956,Month-to-month,Yes,Bank transfer (automatic)
CONT1957,72,C1957,Two year,Yes,Bank transfer (automatic)
CONT1958,46,C1958,Month-to-month,No,Electronic check
CONT1959,24,C1959,Month-to-month,Yes,Bank transfer (automatic)
CONT1960,5,C1960,Month-to-month,No,Electronic check
CONT1961,33,C1961,Month-to-month,No,Credit card (automatic)
CONT1962,42,C1962,One year,Yes,Bank transfer (automatic)
CONT1963,23,C1963,One year,Yes,Credit card (automatic)
CONT1964,8,C1964,Month-to-month,No,Bank transfer (automatic)
CONT1965,66,C1965,One year,Yes,Mailed check
CONT1966,24,C1966,Month-to-month,Yes,Bank transfer (automatic)
CONT1967,24,C1967,Month-to-month,No,Credit card (automatic)
CONT1968,69,C1968,One year,Yes,Credit card (automatic)
CONT1969,53,C1969,One year,Yes,Mailed check
CONT1970,60,C1970,Two year,No,Electronic check
CONT1971,7,C1971,Month-to-month,Yes,Electronic check
CONT1972,20,C1972,One year,Yes,Credit card (automatic)
CONT1973,23,C1973,Month-to-month,No,Electronic check
CONT1974,72,C1974,Two year,Yes,Electronic check
CONT1975,11,C1975,Month-to-month,Yes,Electronic check
CONT1976,21,C1976,Two year,No,Mailed check
CONT1977,1,C1977,Month-to-month,Yes,Electronic check
CONT1978,31,C1978,Month-to-month,Yes,Electronic check
CONT1979,57,C1979,Two year,No,Mailed check
CONT1980,45,C1980,Two year,Yes,Bank transfer (automatic)
CONT1981,10,C1981,Month-to-month,Yes,Electronic check
CONT1982,58,C1982,Month-to-month,Yes,Credit card (automatic)
CONT1983,14,C1983,Month-to-month,No,Mailed check
CONT1984,27,C1984,One year,No,Mailed check
CONT1985,14,C1985,Month-to-month,Yes,Bank transfer (automatic)
CONT1986,12,C1986,Month-to-month,No,Mailed check
CONT1987,69,C1987,Two year,Yes,Bank transfer (automatic)
CONT1988,25,C1988,Month-to-month,Yes,Bank transfer (automatic)
CONT1989,58,C1989,One year,Yes,Electronic check
CONT1990,35,C1990,Two year,Yes,Credit card (automatic)
CONT1991,16,C1991,Month-to-month,Yes,Electronic check
CONT1992,45,C1992,One year,No,Credit card (automatic)
CONT1993,17,C1993,Month-to-month,Yes,Electronic check
CONT1994,1,C1994,Month-to-month,Yes,Electronic check
CONT1995,22,C1995,One year,No,Mailed check
CONT1996,1,C1996,Month-to-month,Yes,Electronic check
CONT1997,67,C1997,Two year,No,Mailed check
CONT1998,67,C1998,Two year,Yes,Bank transfer (automatic)
CONT1999,2,C1999,Month-to-month,No,Electronic check
CONT2000,23,C2000,Month-to-month,Yes,Electronic check
CONT2001,9,C2001,Month-to-month,No,Credit card (automatic)
CONT2002,5,C2002,Month-to-month,No,Mailed check
CONT2003,54,C2003,Two year,No,Credit card (automatic)
CONT2004,57,C2004,Two year,Yes,Electronic check
CONT2005,24,C2005,Month-to-month,Yes,Mailed check
CONT2006,49,C2006,One year,No,Mailed check
CONT2007,5,C2007,Month-to-month,No,Electronic check
CONT2008,2,C2008,Month-to-month,Yes,Electronic check
CONT2009,4,C2009,Month-to-month,Yes,Mailed check
CONT2010,70,C2010,Two year,Yes,Bank transfer (automatic)
CONT2011,5,C2011,Month-to-month,Yes,Bank transfer (automatic)
CONT2012,53,C2012,Month-to-month,No,Electronic check
CONT2013,47,C2013,Month-to-month,Yes,Electronic check
CONT2014,31,C2014,One year,No,Credit card (automatic)
CONT2015,13,C2015,Month-to-month,No,Bank transfer (automatic)
CONT2016,28,C2016,Month-to-month,No,Mailed check
CONT2017,10,C2017,Month-to-month,No,Electronic check
CONT2018,38,C2018,Two year,No,Bank transfer (automatic)
CONT2019,1,C2019,Month-to-month,Yes,Mailed check
CONT2020,67,C2020,One year,No,Electronic check
CONT2021,52,C2021,One year,Yes,Mailed check
CONT2022,62,C2022,Two year,No,Mailed check
CONT2023,16,C2023,Month-to-month,Yes,Electronic check
CONT2024,5,C2024,Month-to-month,Yes,Electronic check
CONT2025,12,C2025,One year,No,Electronic check
CONT2026,72,C2026,Two year,Yes,Bank transfer (automatic)
CONT2027,71,C2027,One year,No,Bank transfer (automatic)
CONT2028,24,C2028,One year,No,Mailed check
CONT2029,15,C2029,Two year,No,Mailed check
CONT2030,67,C2030,One year,Yes,Credit card (automatic)
CONT2031,2,C2031,Month-to-month,No,Bank transfer (automatic)
CONT2032,5,C2032,Month-to-month,No,Mailed check
CONT2033,15,C2033,Month-to-month,No,Electronic check
CONT2034,1,C2034,Month-to-month,Yes,Mailed check
CONT2035,41,C2035,One year,Yes,Bank transfer (automatic)
CONT2036,43,C2036,Month-to-month,Yes,Electronic check
CONT2037,1,C2037,Month-to-month,No,Electronic check
CONT2038,1,C2038,Month-to-month,Yes,Mailed check
CONT2039,26,C2039,Month-to-month,Yes,Electronic check
CONT2040,22,C2040,Month-to-month,Yes,Electronic check
CONT2041,71,C2041,Two year,No,Bank transfer (automatic)
CONT2042,7,C2042,Two year,No,Mailed check
CONT2043,28,C2043,Month-to-month,No,Bank transfer (automatic)
CONT2044,16,C2044,Month-to-month,No,Electronic check
CONT2045,7,C2045,One year,No,Mailed check
CONT2046,69,C2046,Two year,Yes,Bank transfer (automatic)
CONT2047,1,C2047,Month-to-month,No,Mailed check
CONT2048,3,C2048,Month-to-month,Yes,Electronic check
CONT2049,21,C2049,Month-to-month,Yes,Bank transfer (automatic)
CONT2050,69,C2050,Month-to-month,Yes,Bank transfer (automatic)
CONT2051,71,C2051,Two year,Yes,Bank transfer (automatic)
CONT2052,69,C2052,Two year,No,Mailed check
CONT2053,48,C2053,Month-to-month,Yes,Electronic check
CONT2054,47,C2054,Month-to-month,Yes,Bank transfer (automatic)
CONT2055,2,C2055,Month-to-month,Yes,Electronic check
CONT2056,45,C2056,Month-to-month,Yes,Credit card (automatic)
CONT2057,51,C2057,Month-to-month,No,Bank transfer (automatic)
CONT2058,22,C2058,Month-to-month,Yes,Electronic check
CONT2059,72,C2059,Two year,No,Bank transfer (automatic)
CONT2060,37,C2060,Month-to-month,Yes,Electronic check
CONT2061,71,C2061,Two year,No,Electronic check
CONT2062,7,C2062,Month-to-month,No,Electronic check
CONT2063,66,C2063,Two year,Yes,Credit card (automatic)
CONT2064,51,C2064,One year,Yes,Bank transfer (automatic)
CONT2065,30,C2065,One year,No,Bank transfer (automatic)
CONT2066,34,C2066,Month-to-month,No,Electronic check
CONT2067,64,C2067,Two year,Yes,Mailed check
CONT2068,65,C2068,One year,Yes,Bank transfer (automatic)
CONT2069,47,C2069,Month-to-month,No,Mailed check
CONT2070,1,C2070,Month-to-month,Yes,Electronic check
CONT2071,49,C2071,Month-to-month,Yes,Credit card (automatic)
CONT2072,67,C2072,Two year,No,Credit card (automatic)
CONT2073,39,C2073,One year,No,Bank transfer (automatic)
CONT2074,14,C2074,Month-to-month,No,Mailed check
CONT2075,43,C2075,Month-to-month,Yes,Credit card (automatic)
CONT2076,56,C2076,Month-to-month,Yes,Electronic check
CONT2077,14,C2077,One year,No,Credit card (automatic)
CONT2078,1,C2078,Month-to-month,No,Electronic check
CONT2079,16,C2079,One year,Yes,Mailed check
CONT2080,70,C2080,Month-to-month,Yes,Electronic check
CONT2081,72,C2081,Two year,Yes,Credit card (automatic)
CONT2082,23,C2082,Month-to-month,Yes,Credit card (automatic)
CONT2083,21,C2083,Month-to-month,No,Mailed check
CONT2084,1,C2084,Month-to-month,Yes,Mailed check
CONT2085,1,C2085,Month-to-month,No,Bank transfer (automatic)
CONT2086,32,C2086,Month-to-month,Yes,Electronic check
CONT2087,17,C2087,Month-to-month,No,Electronic check
CONT2088,4,C2088,Month-to-month,Yes,Electronic check
CONT2089,36,C2089,One year,No,Electronic check
CONT2090,50,C2090,Two year,No,Credit card (automatic)
CONT2091,48,C2091,Month-to-month,Yes,Credit card (automatic)
CONT2092,50,C2092,Two year,No,Credit card (automatic)
CONT2093,72,C2093,Two year,No,Credit card (automatic)
CONT2094,10,C2094,Month-to-month,No,Credit card (automatic)
CONT2095,18,C2095,Month-to-month,No,Mailed check
CONT2096,1,C2096,Month-to-month,Yes,Electronic check
CONT2097,1,C2097,Month-to-month,No,Electronic check
CONT2098,9,C2098,Month-to-month,Yes,Electronic check
CONT2099,2,C2099,Month-to-month,No,Mailed check
CONT2100,40,C2100,Month-to-month,Yes,Credit card (automatic)
CONT2101,69,C2101,One year,No,Bank transfer (automatic)
CONT2102,37,C2102,One year,Yes,Electronic check
CONT2103,18,C2103,Month-to-month,Yes,Credit card (automatic)
CONT2104,11,C2104,Month-to-month,Yes,Electronic check
CONT2105,8,C2105,Month-to-month,Yes,Credit card (automatic)
CONT2106,3,C2106,Month-to-month,No,Electronic check
CONT2107,55,C2107,One year,No,Credit card (automatic)
CONT2108,33,C2108,Month-to-month,Yes,Electronic check
CONT2109,46,C2109,Month-to-month,No,Bank transfer (automatic)
CONT2110,34,C2110,Two year,No,Bank transfer (automatic)
CONT2111,3,C2111,Month-to-month,No,Electronic check
CONT2112,30,C2112,Two year,No,Mailed check
CONT2113,33,C2113,One year,No,Electronic check
CONT2114,45,C2114,One year,Yes,Credit card (automatic)
CONT2115,40,C2115,Month-to-month,Yes,Mailed check
CONT2116,71,C2116,Two year,Yes,Electronic check
CONT2117,1,C2117,Month-to-month,No,Electronic check
CONT2118,72,C2118,Two year,No,Bank transfer (automatic)
CONT2119,22,C2119,Month-to-month,Yes,Electronic check
CONT2120,46,C2120,One year,Yes,Bank transfer (automatic)
CONT2121,55,C2121,Two year,No,Mailed check
CONT2122,1,C2122,Month-to-month,No,Mailed check
CONT2123,12,C2123,One year,Yes,Mailed check
CONT2124,31,C2124,Month-to-month,Yes,Electronic check
CONT2125,5,C2125,Month-to-month,Yes,Electronic check
CONT2126,67,C2126,Two year,Yes,Electronic check
CONT2127,1,C2127,Month-to-month,No,Mailed check
CONT2128,40,C2128,One year,Yes,Electronic check
CONT2129,41,C2129,Month-to-month,Yes,Credit card (automatic)
CONT2130,1,C2130,Month-to-month,Yes,Electronic check
CONT2131,51,C2131,One year,Yes,Electronic check
CONT2132,42,C2132,Two year,No,Credit card (automatic)
CONT2133,23,C2133,One year,No,Mailed check
CONT2134,1,C2134,Month-to-month,Yes,Electronic check
CONT2135,1,C2135,Month-to-month,No,Mailed check
CONT2136,56,C2136,Month-to-month,Yes,Credit card (automatic)
CONT2137,15,C2137,Month-to-month,Yes,Electronic check
CONT2138,12,C2138,Two year,Yes,Bank transfer (automatic)
CONT2139,54,C2139,Two year,No,Bank transfer (automatic)
CONT2140,7,C2140,Month-to-month,Yes,Electronic check
CONT2141,33,C2141,Month-to-month,No,Credit card (automatic)
CONT2142,16,C2142,Month-to-month,No,Electronic check
CONT2143,21,C2143,One year,No,Mailed check
CONT2144,30,C2144,Two year,No,Electronic check
CONT2145,3,C2145,Month-to-month,Yes,Mailed check
CONT2146,11,C2146,Month-to-month,No,Electronic check
CONT2147,62,C2147,One year,Yes,Credit card (automatic)
CONT2148,18,C2148,Month-to-month,No,Electronic check
CONT2149,6,C2149,Month-to-month,No,Mailed check
CONT2150,46,C2150,One year,Yes,Electronic check
CONT2151,21,C2151,Month-to-month,Yes,Electronic check
CONT2152,68,C2152,Two year,Yes,Bank transfer (automatic)
CONT2153,1,C2153,Month-to-month,Yes,Electronic check
CONT2154,25,C2154,Month-to-month,Yes,Electronic check
CONT2155,24,C2155,Two year,No,Mailed check
CONT2156,30,C2156,Month-to-month,Yes,Electronic check
CONT2157,2,C2157,Month-to-month,No,Electronic check
CONT2158,51,C2158,One year,Yes,Bank transfer (automatic)
CONT2159,57,C2159,Two year,Yes,Electronic check
CONT2160,15,C2160,Two year,No,Bank transfer (automatic)
CONT2161,72,C2161,Two year,Yes,Bank transfer (automatic)
CONT2162,2,C2162,Month-to-month,Yes,Electronic check
CONT2163,28,C2163,Month-to-month,No,Credit card (automatic)
CONT2164,29,C2164,Month-to-month,Yes,Electronic check
CONT2165,70,C2165,Two year,Yes,Credit card (automatic)
CONT2166,13,C2166,One year,No,Mailed check
CONT2167,59,C2167,One year,Yes,Electronic check
CONT2168,13,C2168,Month-to-month,Yes,Electronic check
CONT2169,7,C2169,Month-to-month,Yes,Mailed check
CONT2170,62,C2170,Two year,No,Mailed check
CONT2171,21,C2171,One year,Yes,Electronic check
CONT2172,2,C2172,Month-to-month,No,Electronic check
CONT2173,1,C2173,Month-to-month,No,Credit card (automatic)
CONT2174,4,C2174,Month-to-month,No,Electronic check
CONT2175,19,C2175,One year,No,Credit card (automatic)
CONT2176,30,C2176,Month-to-month,No,Electronic check
CONT2177,67,C2177,Two year,Yes,Credit card (automatic)
CONT2178,72,C2178,Two year,Yes,Credit card (automatic)
CONT2179,53,C2179,Two year,No,Credit card (automatic)
CONT2180,5,C2180,One year,No,Electronic check
CONT2181,71,C2181,Two year,Yes,Credit card (automatic)
CONT2182,50,C2182,One year,Yes,Credit card (automatic)
CONT2183,56,C2183,Two year,Yes,Electronic check
CONT2184,2,C2184,Month-to-month,Yes,Credit card (automatic)
CONT2185,2,C2185,Month-to-month,Yes,Electronic check
CONT2186,24,C2186,Month-to-month,No,Electronic check
CONT2187,46,C2187,Two year,No,Credit card (automatic)
CONT2188,71,C2188,Two year,Yes,Electronic check
CONT2189,29,C2189,Month-to-month,Yes,Electronic check
CONT2190,69,C2190,Two year,No,Bank transfer (automatic)
CONT2191,71,C2191,Two year,No,Credit card (automatic)
CONT2192,1,C2192,Month-to-month,Yes,Electronic check
CONT2193,56,C2193,Two year,Yes,Bank transfer (automatic)
CONT2194,56,C2194,One year,Yes,Mailed check
CONT2195,1,C2195,Month-to-month,Yes,Electronic check
CONT2196,28,C2196,One year,No,Mailed check
CONT2197,19,C2197,Month-to-month,No,Mailed check
CONT2198,66,C2198,Month-to-month,No,Electronic check
CONT2199,17,C2199,One year,Yes,Mailed check
CONT2200,52,C2200,Two year,No,Mailed check
CONT2201,19,C2201,One year,No,Electronic check
CONT2202,36,C2202,One year,No,Bank transfer (automatic)
CONT2203,7,C2203,Month-to-month,Yes,Mailed check
CONT2204,72,C2204,One year,Yes,Credit card (automatic)
CONT2205,67,C2205,One year,Yes,Electronic check
CONT2206,34,C2206,One year,Yes,Electronic check
CONT2207,57,C2207,Month-to-month,Yes,Bank transfer (automatic)
CONT2208,7,C2208,Month-to-month,Yes,Electronic check
CONT2209,1,C2209,Month-to-month,Yes,Electronic check
CONT2210,8,C2210,Month-to-month,Yes,Bank transfer (automatic)
CONT2211,69,C2211,Two year,No,Electronic check
CONT2212,50,C2212,One year,Yes,Mailed check
CONT2213,10,C2213,One year,No,Mailed check
CONT2214,12,C2214,Two year,No,Credit card (automatic)
CONT2215,14,C2215,Month-to-month,Yes,Electronic check
CONT2216,70,C2216,Two year,Yes,Bank transfer (automatic)
CONT2217,64,C2217,Month-to-month,Yes,Bank transfer (automatic)
CONT2218,66,C2218,Two year,No,Credit card (automatic)
CONT2219,71,C2219,Two year,Yes,Credit card (automatic)
CONT2220,20,C2220,Month-to-month,No,Electronic check
CONT2221,72,C2221,Two year,Yes,Bank transfer (automatic)
CONT2222,71,C2222,Two year,No,Credit card (automatic)
CONT2223,38,C2223,Month-to-month,Yes,Credit card (automatic)
CONT2224,28,C2224,Month-to-month,Yes,Electronic check
CONT2225,17,C2225,Month-to-month,Yes,Electronic check
